,Room Details,City,Ward,Negotiable,Monthly Rent,Available Now?,Size in squared meters,Deposit in Yen,Deposit Required?,Key Price in Yen,Key Payment Required?,Floor Data,Year,Building Age,Closest Station,Time to Nearest Station,Bus Requried?
87,1K APARTMENT,KOMAGOME,TOSHIMA,No,125000.0,Yes,26.2,0,No,0,No,7 / 11,2020,1,Komagome Station,3,No
88,SHARED APARTMENT,FUJIMIDAI,KUNITACHI,No,64000.0,Yes,8.0,0,No,0,No,5 / 5,1966,55,Yaho Station,4,No
89,1K APARTMENT,KAMISHAKUJII,NERIMA,No,72000.0,Yes,23.61,0,No,0,No,1 / 2,2007,14,Kamishakujii Station,10,No
90,2DK APARTMENT,YAMABUKICHO,SHINJUKU,No,142000.0,No,25.74,0,No,127000,Yes,3 / 6,2019,2,Edogawabashi Station,5,No
91,1K APARTMENT,CHUO,OTA,No,85000.0,Yes,21.11,0,No,0,No,1 / 4,2019,2,Kamata Station,15,No
92,1K APARTMENT,KOMAGOME,TOSHIMA,No,122000.0,Yes,26.2,0,No,0,No,3 / 11,2020,1,Komagome Station,3,No
93,1DK APARTMENT,OKUSAWA,SETAGAYA,No,122550.0,No,22.01,0,No,0,No,3 / 3,2020,1,Kuhonbutsu Station,5,No
94,1K APARTMENT,SHIROKANE,MINATO,No,95000.0,Yes,19.87,0,No,0,No,1 / 3,2011,10,Shirokane-takanawa Station,11,No
95,1K APARTMENT,KITAZAWA,SETAGAYA,No,131000.0,Yes,25.46,0,No,116000,Yes,3 / 4,2018,3,Higashikitazawa Station,5,No
97,1K APARTMENT,NARITAHIGASHI,SUGINAMI,No,90000.0,Yes,26.08,0,No,0,No,2 / 2,2008,13,Minami Asagaya Station,11,No
98,1K APARTMENT,KAMIIKEDAI,OTA,No,91000.0,Yes,21.24,0,No,0,No,1 / 2,2016,5,Nagahara Station,5,No
99,1K APARTMENT,SASAZUKA,SHIBUYA,No,92000.0,No,20.28,0,No,0,No,2 / 3,2004,17,Sasazuka Station,9,No
100,1K APARTMENT,HONCHO,ITABASHI,No,104500.0,Yes,25.62,0,No,0,No,6 / 7,2021,0,Itabashi Honchou Station,5,No
101,1K APARTMENT,HIGASHIKANDA,CHIYODA,No,139500.0,Yes,25.83,0,No,0,No,9 / 12,2020,1,Asakusabashi Station,5,No
102,1K APARTMENT,HIGASHIKANDA,CHIYODA,No,139000.0,Yes,25.83,0,No,0,No,8 / 12,2020,1,Asakusabashi Station,5,No
103,1K APARTMENT,HONCHO,ITABASHI,No,105000.0,Yes,25.62,0,No,0,No,6 / 7,2021,0,Itabashi Honchou Station,5,No
104,1K APARTMENT,TORANOMON,MINATO,No,160000.0,Yes,29.56,0,No,0,No,6 / 10,2020,1,Kamiyacho Station,4,No
105,1DK APARTMENT,KAMINOGE,SETAGAYA,No,127000.0,No,42.72,122000,Yes,0,No,2 / 3,2018,3,Kaminoge Station,13,No
106,1K APARTMENT,IZUMI,SUGINAMI,No,79000.0,No,19.87,0,No,0,No,1 / 2,2003,18,Daitabashi Station,13,No
108,2LDK APARTMENT,AKASAKA,MINATO,No,300000.0,No,52.83,280000,Yes,0,No,2 / 7,1999,22,Tameike-sanno Station,3,No
109,1K APARTMENT,HONCHO,ITABASHI,No,104000.0,Yes,25.62,0,No,0,No,7 / 7,2021,0,Itabashi Honchou Station,5,No
110,1K APARTMENT,MIDORI,SUMIDA,No,108000.0,Yes,25.43,0,No,0,No,2 / 9,2020,1,Kikukawa Station,9,No
111,1K APARTMENT,SAKURAJOSUI,SETAGAYA,No,78000.0,No,20.76,0,No,0,No,1 / 2,2016,5,Sakurajousui Station,15,No
113,1K APARTMENT,MIDORI,SUMIDA,No,109500.0,Yes,25.23,0,No,0,No,5 / 9,2020,1,Kikukawa Station,9,No
114,1K APARTMENT,MORISHITA,KOTO,No,120500.0,Yes,25.64,0,No,0,No,4 / 8,2020,1,Morishita Station,3,No
115,1K APARTMENT,HIGASHIKANDA,CHIYODA,No,135000.0,Yes,25.83,0,No,0,No,7 / 12,2020,1,Asakusabashi Station,5,No
117,1K APARTMENT,MIDORI,SUMIDA,No,118000.0,Yes,25.64,0,No,0,No,4 / 11,2020,1,Ryogoku Station,5,No
118,1K APARTMENT,KASUYA,SETAGAYA,No,70000.0,Yes,19.87,0,No,0,No,1 / 2,2006,15,Roka Koen Station,13,No
119,PRIVATE GUESTHOUSE,MEJIRO,TOSHIMA,No,57000.0,Yes,7.0,0,No,0,No,3 / 4,1959,62,Mejiro Station,4,No
